ID,Title,Abstract,Labels
011,investigation infrastructure maintenance cost intercity railway thailand,published under licence iop publishing ltd infrastructure rail system requires considerable investment construction maintenance many countries railway operators have been able share capacity railroad achieve efficient infrastructure usage development thailand s railway network system future it possible separating management between infrastructure rolling stock operations therefore it necessary know costs factors affects cost infrastructure including government budget subsidies basis track utilization charges study costs infrastructure construction maintenance 5 route sections representing different traffic characteristics studied records 5 years it found maintenance cost telecommunication signalling system ranges 1 3 1 7 million baht per year per station average annual maintenance cost railway track 280 000 310 000 baht per track per kilometre traffic density found main factor influenced maintenance cost,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0]"
012,unknown input nonlinear observer soft pneumatic robotic gripper application,2023 ieee due complex dynamics soft pneumatic robotic gripper system it difficult accurately control its behavior ensure stable grasping objects unknown input nonlinear observer can used estimate unknown input system gripper s deformation or position state parameters dynamic model soft pneumatic robotic gripper system has been developed then unknown inputs nonlinear observer has been defined applied system demonstration applying technique presented next simulation system observer implemented matlab simulation results show unknown inputs nonlinear observer can used accurately estimate unknown input system state parameters estimated information can then used control gripper s behavior ensure stable grasping objects,"[0, 0, 0, 0, 0, 1, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0]"
013,spark framework real time analytic multiple heterogeneous data streams,ieee real time streaming applications multiple heterogeneous data streams have become increasingly popular especially iot applications however many issues still exist especially deploying maintaining these large amounts data streams spark structured streaming paper introduces spark streaming framework multiple heterogeneous data streams which allows deployment multiple heterogeneous data stream processing single spark application reducing deployment difficulty coding redundancy monitoring difficulties solving problem inefficient job queueing multi stream applications,"[0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
014,experiment simulation heavy oil production steam flooding heterogeneous reservoir,published under licence iop publishing ltd heavy oil has long been known one main energy sources due huge amount reserves heavy oil production depends reservoir characteristics like permeability reservoir pressure well oil viscosity difficulty produce oil its high viscosity practical technology produce heavy oil use steam steam flooding method reduce oil viscosity however huge energy consumption steam flooding operation can impact operating cost well project life therefore objectives study measure viscosity correlate results temperature simulate oil production stars cmg program moreover effects parameters like well distance injection rate permeability oil production also investigated simulation results show oil viscosity permeability play significant roles heavy oil production also higher oil recovery can obtained increasing steam injection rate shorten well spacing these conditions can applied use real field heavy oil production major benefit practice reduce steam consumption fuel costs increase more oil production thus extending economic project life,"[0, 1, 0, 1, 1, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
015,rechargeable zinc ion battery based choline chloride urea deep eutectic solvent,author s recently because their cost effectiveness high safety environmental friendliness zinc ion batteries zibs receiving enormous attention until now aqueous based zibs have been focus attention however issues regarding hydrogen evolution zinc electrode passivation well dendrite formation limit their practical application work biocompatible stable low cost choline chloride urea chcl urea deep eutectic solvent reported alternative electrolyte rechargeable zibs based delta type manganese oxide δ mno2 intercalation electrode behavior zinc electrode stripping deposition chcl urea electrolyte examined besides charge storage charge transfer characteristics battery studied results showed there no sign dendrite formation zinc electrode during long term cycling consequently fabricated battery exhibited good electrochemical performance maximum specific capacity 170 mah g good cyclability addition system showed reversible plating stripping zinc zn without dendrite formation no passivation layer zinc electrode hence results confirmed reversible intercalation zn deep eutectic solvent chcl urea into δ mno2 electrode overall proposed electrolyte shows good promise zn δ mno2 battery system,"[0, 0, 1, 0, 1, 0, 1, 0, 0, 0, 1, 0, 0, 0, 1, 0, 0, 0]"
016,gelation process physicochemical properties thai silk fibroin hydrogels induced various anionic surfactants controlled release curcumin,aocshydrogels based thai silk fibroin sf prepared induction various anionic surfactants including sodium octyl sulfate sos sodium dodecyl sulfate sds sodium tetradecyl sulfate sts which have similar chemical structure but different alkyl chain lengths charges effects anionic surfactant types their concentrations gelation mechanism time sf systematically investigated we found sds sts have long alkyl chain lengths high negative charges could accelerate gelation sf occur within 14 42 min concentration dependent manner sos has short alkyl chain length low negative charge slowly induced sf gel around 113 144 h mechanisms sf gelation induced these three anionic surfactants supposed combination hydrophobic electrostatic interactions well self transition beta sheets sf sts hydrogels further employed encapsulate curcumin controlled release application sf 0 09 wt sts hydrogel encapsulating curcumin showed slow rate degradation while sustained release curcumin hydrogel can applied minimal invasive injectable hydrogel or hydrogel topical treatment diseases,"[0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0]"
017,web based teleoperation system enhanced precision efficiency food industry applications,2023 ieee paper presents development web application teleoperation context food industry leveraging flask python web framework server socket io real time communication mqtt efficient data exchange dropbox secure data storage web application provides remote operation real time monitoring capabilities plant data storing system consists three main components main server acting bridge between web client plant s controller web client offering user friendly interface communicate main server plant s controller responsible controlling plant s operations communication main server system successfully integrated cutting food items application featuring cartesian robot depth camera controlled raspberry pi 4 web application enables users initiate plant operations visualize generated images stream camera frames monitor robot s position real time moreover system stores essential data such point cloud arrays 3d point cloud images object volumes dropbox system s advantages include python implementation web based accessibility seamless integration iot ecosystem adaptability digital twin concepts efficient data storage overall teleoperating system significant benefits food industry including enhanced precision improved efficiency seamless integration iot ecosystem reliable data storage analysis leveraging these advantages food processing operations can achieve higher quality standards increased productivity more informed decision making ultimately leading improved customer satisfaction business success,"[0, 1, 0, 0, 0, 0, 0, 1, 1, 0, 0, 0, 1, 0, 1, 0, 0, 0]"
018,inventive problem solving automotive part defective reduction,association computing machinery paper aims innovative solutions triz reduce four highest defective parts new automotive model which yields 85 supplier part s defective rates dmaic methodology six sigma applied solve problems team established reduce defective rate achieve production performance kpi define objective scope set through 80 20 pareto chart which identified main focused problem measure related precision accuracy component parts compare specification process capability each component part manufacturer which lower than target selected analysis cause effect diagram conducted each component show possible causes problem specify factors effected process mean or process variation summarized its root causes fmea performed confirm current process control each factor statistical hypothesis testing used prove main factors affect process inconsistency each part improve triz applied quick accurate idea generating excellence decision making various alternative solutions resolve technical contradiction pugh s matrix adopted improve solutions logically establish criteria select best efficient idea control according above performed overall defectives reduced 387 ppm 198 ppm or approximately 51 2 compared average defectives seven month ago,"[0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 1, 0, 0, 1]"
019,enhance accuracy hierarchical text categorization based deep learning network embedding strategies,ieee hierarchical text categorization task aims assign predefined categories text documents hierarchical constraint recently deep learning techniques has shown many success results various fields especially text categorization our previous work called shared hidden layer neural network shl nn it has shown sharing information between levels can improve performance model however work based sequence unsupervised word embedding vectors so performance should limited paper we propose supervised document embedding specifically designed hierarchical text categorization based autoencoder which trained both words labels enhance embedding vectors document embedding strategies invented utilize class hierarchy information training process transfer prediction result parent classes shared information technique has been improved more flexible efficient experiment conducted three standard benchmarks wipo c wipo d wiki comparing two baselines shl nn top down based svm framework tf idf inputs called hr svm results show proposed model outperforms all baselines terms f1 macro,"[0, 0, 0, 0, 0, 0, 1, 1, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0]"
020,recommendation system thai household remedies ontology,turkiye klinikleri journal medical sciences all rights reserved selecting proper household remedies such symptoms essential challenge thai citizens who may confront situation everyday life besides diversity available medicines retail market lack reliable documentations thai healthcare system also causes inconvenience thai citizens most healthcare information limited its accessibility thai citizens effortless way dispersion data services leads cost raising increased medical errors paper presents skillful medicine recommendation system initiate thai household remedy thr monthly index medical specialties mims information we devise household remedies ontology model which illustrates relationships between personal information indications illness symptom its related household remedies medication model allows ontology inferences knowledge discovery aid selecting proper medications diagnosed symptoms we correlate thr mims patient s personal information purpose determine semantical relationships among symptoms medicines its dose drug interaction taken indication generally medicine selected symptoms dose personalized each patient result development we evaluated satisfactory performance presented system through review thai citizens result shows thai household remedy recommendation system useful approach help thai citizens reaching out proper household remedies or medicines,"[0, 0, 1, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0]"
021,performance analysis machine learning techniques intrusion detection,association computing machinery paper presents performance analysis machine learning techniques intrusion detection we analyze time build retrain models used intrusion detection system machine learning branch computer science allows computer learn themselves without programming sequence these techniques can applied detect new threat has never seen before due large volumes security audit data well complex dynamic properties intrusion behaviors optimizing accuracy ids becomes important open problem receiving attentions research community however performance time space required usually ignored our study allows administrators work make better decisions about how select proper hardware intrusion detection various environments we proposed models estimating time build each model vector equation cut off point provided determining minimum number cpu required building decision tree model support vector machine model,"[0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
022,deep learning risk reward function stock market prediction,association computing machinery many recent studies have attempted apply deep learning approach build model stock market prediction most these studies have concentrated prediction accuracy performance metric some them have also performed trading simulations evaluate financial performance however financial performance not improved significantly because loss function used training process focused primarily prediction accuracy paper we propose new framework train deep neural network stock market prediction new loss function developed adding risk reward function which derived trading simulation results new scoring metric called sharpe f1 score which combination sharpe ratio f1 score used model selection we employ best prediction model our previous work which consists convolutional neural network cnn long short term memory network lstm architectures takes event embedding vectors historical prices set technical indicators inputs robustness our framework evaluated two datasets varying key parameters used proposed framework results show financial performance can improved adding risk reward function into loss function used training process,"[0, 0, 1, 0, 0, 0, 1, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
023,three dimensional lower bound finite element limit analysis anisotropic undrained strength criterion second order cone programming,elsevier ltdthis paper describes formulation second order cone programming three dimensional lower bound finite element limit analysis considering cross anisotropic undrained strength criterion three dimensional generalized yield criterion accounting cross anisotropic undrained strength clay proposed requires four input shear strengths triaxial compression extension direct simple shear pressuremeter tests proposed formulation verified through predictions various compressions anisotropic soil blocks while importance undrained strength anisotropy demonstrated analyses undrained bearing capacity strip circular square footings anisotropic clays,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1]"
024,techno economic analysis hydrogen production dehydrogenation steam reforming ethanol carbon dioxide conversion methanol,2021 hydrogen energy publications llcdecreasing carbon dioxide co2 emission converting higher valued product has become interest hydrogen h2 important feedstock required thermochemical conversion co2 chemicals such methanol cost availability h2 affect cost co2 conversion study focused process simulation h2 production ethanol feedstock steam reforming ethanol compared dehydrogenation ethanol h2 valued products including ethyl acetate acetaldehyde form study steam reforming ethanol presents lowest cost h2 production 1 58 usd kg h2 while dehydrogenation ethanol presents cost 3 24 1 97 usd kg h2 respectively although presenting lowest cost steam reforming ethanol provides net positive co2 emission overall co2 conversion methanol process contrast ethanol dehydrogenation h2 byproducts ethyl acetate acetaldehyde promotes net negative co2 emission 819 20 kg ton methanol 5 42 kg ton methanol respectively results present decreasing co2 emission increasing cost h2 production,"[0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 1, 0, 0, 0]"
025,scenarios municipal solid waste management mitigating greenhouse gas emission case study supermarket bangkok thailand,association computing machinery consequence rapid urbanization population growth many cities have faces issues waste management landfill approach generally decided handling most municipal solid waste resulting impacts environment especially land occupation global warming commercial building plays importance role not only economic value but also environmental aspects supermarket located community mall selected case study towards sustainable cities study aimed investigate current msw management system supermarket order quantify its environmental performance propose suitable options improving municipal solid waste management findings revealed business asusual 397 tco2e emitted annually landfilling waste supermarket thailand however if waste management has improved recycling plus bio gasification approach not only 374 tco2e year will not emitted landfilling but 243 tco2e year also reduced due activities relevant recycling bio gasification process moreover applying such approach provides benefit economic term about 18 321 usd year results study could inspire another commercial buildings or others sector adopting waste management practices together creating network sustainable cities through suitable waste management system,"[1, 1, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0]"
026,integration biorefinery concept development sustainable processes pulp paper industry,2018this work aims developing sustainable processes pulp paper industry integration biorefinery concept existing pulp paper process systematic methodology employing superstructure based process synthesis approach employed support computer aided tools determine potential pathways long term sustainable growth objective superstructure multi product biorefinery process network pulp paper industry developed it divided into three sub networks chemical pulping section biochemical production section black liquor utilization section superstructure optimization performed objective maximize profit determine optimal integrated networks three scenarios obtained results provide useful insights further development optimal networks sustainable integrated biorefinery combined pulp paper mills,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 0, 0, 0, 0, 0, 0]"
027,improvement relative permeability wetting condition sandstone low salinity waterflooding,published under licence iop publishing ltd waterflooding generally performed maintain reservoir pressure consequence production period extended however conventional waterflooding may not suitable every reservoir low salinity waterflooding lsw which recently most mentioned technique therefore considered although clear explanation oil recovery mechanism not available it believed key mechanism multi component ion exchange mie study aims assess improvement relative permeability wetting condition sandstone formation oilfield thailand through mie mechanism study divided into two major parts first part laboratory study including core fluid preparations imbibition test coreflooding test ion exchange detection after laboratory data including fluid production rate pressure difference versus time obtained core simulation reservoir simulation program called star commercialized computer modelling group cmg performed study change wetting condition through shifting relative permeability obtaining results would help verifying suitability implementation technique oilfield results imbibition test showed lsw yields higher oil recovery factor compared formation water diluted formation water 5 000 ppm which approximately one third formation water best water formulation yielding fastest rate imbibition study ion exchange detection test results showed variation divalent ion concentrations compared injected water moreover presence calcium magnesium ions oil phase supports occurrence mie during displacement mechanism theoretical model matching physical data reservoir simulation program indicates lsw slightly affects original wetting condition water wetness lessened can observed increment relative permeability water end point saturation moreover lsw reduces residual oil saturation same time increases relative permeability oil detection mie together observation wetting condition through core simulation it can concluded lsw promising technique oilfield thailand produced water must reinjected back into reservoir based zero discharge regulation thai government low cost technique diluting water salinity prior reinjection would fulfil requirement government same time helps increasing oil recovery total field,"[0, 0, 0, 1, 1, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0]"
028,classification advertisement text facebook synthetic minority over sampling technique,association computing machinery understanding consumer behavior important task field marketing dentsu s aisas model model has been proposed describe consumer behavior model defines reaction when consumer has seen advertising into five stages attention interest search action share paper advertisement text datasets facebook labelled stages aisas model learned classified machine learning algorithms nevertheless like many other real world data our dataset had imbalanced class distribution classifier algorithms tend predict mostly majority class overcome problem synthetic minority over sampling technique smote adopted also combined chi square based feature selection technique varieties feature sizes based various classifier algorithms compared appropriate feature size smote could improve classification performance terms recall f1 score,"[0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1, 0, 0, 0, 1]"
029,exploring network vulnerabilities corporate security operations,springer nature singapore pte ltd 2020 user credentials often serve entry point into organization s network its information assets well managed identities mean greater control user access would lead reduced risk internal external breaches paper has studied how apply elastic stack security monitoring analytics elastic stack formerly known elk open source product well known powerful platform log management analytics solutions several preliminary experiments carried out means log analysis procedure malicious traffics monitoring explore vulnerabilities or weakness will cause network failures or illegitimate access information assets experimental results findings would beneficial feedbacks further establishing corporate policies regulations well implementing house preventive security operations,"[0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
030,effects cell triangular microwell size cell trapping efficacy specificity,ksme springer single double or multiple cell entrapment efficacy crucial various aspects biological studies study both computational experimental approaches conducted explore effect cell microwell sizes ability cell trapping triangular microwell computational studies it found interaction between spanwise vortex upper part counter rotating streamwise vortices leading edge helped form pair secondary streamwise vortices deeper inside microwell strength size these secondary streamwise vortices which depended size microwell played important role arrangement entrapped cells experimental results both microbeads white blood cells wbcs good agreement simulated ones suggested ratio between cell microwell sizes important factor efficacy single double multiple cell cell trapping entrapment canine wbcs size distribution between 7 15 µm attained highest single cell trapping efficiency 20 4 array 40 µm triangular microwells 30 µm depth flow rate 0 1 ml h but reduced 16 5 10 6 60 80 µm microwells respectively under same conditions,"[0, 0, 1, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
031,determination appropriate size battery backup system generation system,ieeenowadays power systems many countries have high renewable energy penetration because renewable energy has less impact environment issues however because its unpredictability uncontrollability it may cause power system less reliable need more backup power only responsive conventional power plants difficult manage problem thus battery energy storage has quick response receives high interest recently paper proposes methodology determine appropriate size battery backup system generation system appropriate size battery determined generation system reliability concept reliability indices such api aei considered they calculated monte carlo simulation finally thailand regional power system used test system obtained results show each region required different size batteries depending amount renewable energy generation load its region,"[0, 0, 0, 1, 0, 0, 1, 1, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0]"
032,comparative study local gas liquid hydrodynamics mass transfer between conventional modified airlift reactors,elsevier ltd all rights reserved modified airlift reactor malr developed improving oxygen transfer coefficient kla installing slanted baffles riser compartment malr can enhance kla value up 97 compared regular reactor however insufficient analysis hydrodynamics other oxygen transfer parameters new reactor has been performed date therefore paper aims analyse local gas liquid dynamics evaluate oxygen transfer performance malr compared regular reactors clean water liquid phase air bubble distribution employed terms bubble diameter rising velocity interfacial area slanted baffles maintained bubble size between 3 88 4 63 mm studied superficial gas velocity ug which smaller than airlift reactor alr approximately 0 2 mm bubble rising velocity ub relatively increased ug regardless reactor classes new reactor could extend bubble residence water lengthening bubble stream path slanted baffles leading decrease ub values about 39 52 compared bubble column reactor bcr alr respectively these performances consequently resulted interfacial area almost two times higher than regular reactors oxygen transfer improved malr extra amount oxygen transfer efficiency 1 57 0 63 over bcr alr respectively resulted highest aeration efficiency ae compared other examined reactors following trendline expression ae 0 046 ug 0 6 insertion slanted baffles produced 5 12 8 more dead zone volume than alr bcr respectively conclusion malr can significantly enhance oxygen transfer performance due ability maintain bubble size extend gas liquid transfer period,"[0, 0, 0, 0, 1, 1, 0, 0, 0, 0, 1, 0, 0, 0, 1, 0, 0, 0]"
033,image enhancement quality assessment methods turbid water review article,ieee underwater imaging systems drawing attention during past few decades more more applications such ocean exploration underwater vehicles intelligent fishing becoming popular result newer superior techniques need fulfill demands receiving clearer finer better quality underwater images improved information within it paper recent underwater image enhancement systems which capable improving quality images suffers low light unbalanced colors revised moreover variety objective assessment methods regarding desired category information evaluation highlighted,"[0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
034,study raman spectroscopy insb nano stripes grown gasb substrate molecular beam epitaxy their raman peak shift magnetic field,we report raman spectroscopy self assembled insb nano stripes grown 0 0 1 gasb substrate molecular beam epitaxy nano stripes have truncated pyramidal shape typical dimension 150 200 25 nm 3 raman spectroscopy applied probe phonon related properties insb nano stripes raman spectroscopy shows slight redshifts insb related phonon peaks when excitation wavelength increased when magnetic field applied blueshifts these peaks observed transmission electron microscopy utilized relate structural information insb nano stripes their raman properties,"[0, 0, 0, 0, 0, 0, 1, 0, 1, 0, 1, 0, 0, 0, 0, 0, 0, 1]"
035,growth related photoluminescence properties insb gaas self assembled quantum dots grown 001 ge substrates,2021 elsevier b v various photoluminescence pl spectroscopies applied reveal growth related properties self assembled insb gaas quantum dots qds grown 001 ge substrate obtained qds have rectangular based shape mainly locate near gaas antiphase domain boundaries apbs which formed during growth gaas 001 ge substrate morphology structural properties insb qds can varied change controlled growth conditions optical phonons scatterings embedded insb qds revealed raman spectroscopy low temperature pl emission energy insb gaas qds range 1 18 1 29 ev power dependent pl spectroscopy confirms type ii band alignment system thermal activation energies 22 7 mev 146 5 mev extracted temperature dependent pl spectroscopy 10 140 k polarization dependent pl spectroscopy performed exhibits polarization degree 18 which attributed shape anisotropy buried insb qds,"[0, 0, 0, 0, 1, 1, 1, 0, 1, 1, 1, 0, 0, 0, 0, 0, 0, 1]"
036,implementation microservice based network traffic logger,proceedings 8th international workshop computer science engineering wcse all rights reserved benefits information security data storage management often performed under supervision official regulations such iso iec 27001 one topics addressing operations security specifies requirements logging monitoring record events generate evidence vast amount traffic flowing over internet continues grow paper presents implementation network traffic logger microservices promote scalability it also enables isolated upgrades new features without necessarily disrupting other services teams developing other services assistance microservice architecture log management system would more easily managed scaled,"[0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
037,dynamic programming approach optimal maintenance scheduling substation equipment considering life cycle cost reliability,ieeeasset management transmission system essential issue smart grid condition monitoring system especially maintenance planning maintenance scheduling most important part asset management scheduling affects reliability equipment reliability substation system life cycle cost lcc since equipment substation hardly fails operate information about failure not yet systematically recorded paper focuses long term maintenance based available data historical planning operation data particular weibull distribution model used estimate reliability function equipment maintenance planning may lead different final condition effective age equipment we propose optimal maintenance planning conjunction specified final condition equipment compare lcc reliability dynamic programming dp algorithm gives minimum lcc while satisfying reliability final condition numerical results demonstrate effectiveness dp approach comparing results genetic algorithm dp method provides maintenance planning less lcc,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 1, 0]"
